epoch,train_loss,train_acc,val_loss,val_acc
0,0.5556022281646729,0.8915,0.1734529228210449,0.985
1,0.22681275105476378,0.948,0.08935224723815918,0.993
2,0.15695472776889802,0.968,0.06715916776657105,0.993
3,0.16074897003173827,0.954,0.053746935129165646,0.99
4,0.13115202379226684,0.961,0.048378339886665345,0.993
5,0.11730678731203079,0.9655,0.039017458081245425,0.994
6,0.1325881210565567,0.9615,0.04098374843597412,0.991
7,0.09939132565259934,0.9695,0.035186020493507386,0.994
8,0.1110892151594162,0.963,0.030599533915519714,0.995
9,0.11586969953775406,0.9645,0.03285715329647064,0.994
10,0.08316345530748367,0.9755,0.028582871794700624,0.996
11,0.09991999393701553,0.968,0.03230382978916168,0.992
12,0.08539605563879013,0.972,0.023960711359977724,0.997
13,0.09210060173273087,0.9705,0.028203627943992615,0.991
14,0.09694191867113114,0.9725,0.022405543327331544,0.993
15,0.07731561249494552,0.9735,0.027258328080177308,0.992
16,0.10738061445951462,0.9605,0.02558151340484619,0.995
17,0.09945841956138611,0.9615,0.03212965250015259,0.993
18,0.10543760246038437,0.9635,0.022783890008926392,0.997
19,0.08336677026748657,0.9725,0.025323623538017273,0.993
20,0.07101290559768676,0.9775,0.02378922498226166,0.993
21,0.10362802857160568,0.9655,0.022124972105026244,0.994
22,0.08588057410717011,0.972,0.02129278016090393,0.997
23,0.08229945945739746,0.968,0.021680269360542296,0.994
24,0.09550060576200485,0.97,0.02287049448490143,0.995
25,0.0859727647304535,0.9685,0.02677612316608429,0.994
26,0.07784838622808457,0.978,0.020962417125701904,0.995
27,0.08055773860216141,0.973,0.02332525813579559,0.992
28,0.09602757352590562,0.9715,0.020547399640083314,0.996
29,0.08237005782127381,0.972,0.02543978452682495,0.993
30,0.07949850612878799,0.973,0.025061243057250975,0.994
31,0.06854381674528122,0.9785,0.021837020516395567,0.994
32,0.09494538289308548,0.9635,0.023239853858947754,0.994
33,0.08427580136060715,0.974,0.021971124410629272,0.994
34,0.07570212280750274,0.9735,0.022042897820472716,0.99
