epoch,train_loss,train_acc,val_loss,val_acc
0,0.5755935649871826,0.869,0.17199484252929687,0.983
1,0.28045387148857115,0.9315,0.09132828950881958,0.991
2,0.19247479021549224,0.949,0.07348009753227235,0.988
3,0.18855710357427596,0.946,0.05890195441246033,0.988
4,0.1616928078532219,0.9515,0.04458420157432556,0.993
5,0.13232738333940505,0.957,0.04470756709575653,0.99
6,0.130809397816658,0.9595,0.03495080029964447,0.994
7,0.14411379265785218,0.951,0.03706210517883301,0.993
8,0.12401494312286376,0.964,0.03438993263244629,0.996
9,0.11783609437942505,0.9635,0.0351657338142395,0.992
10,0.13040247029066085,0.962,0.03148285758495331,0.993
11,0.11418642431497573,0.9645,0.029956868767738343,0.996
12,0.11744652223587036,0.966,0.02880308997631073,0.995
13,0.10827125138044358,0.966,0.029609898805618286,0.994
14,0.09769096279144288,0.97,0.02527202796936035,0.996
15,0.10875190621614456,0.9665,0.02244341540336609,0.996
16,0.11178452450037002,0.9665,0.023202813267707824,0.996
17,0.10130629575252532,0.967,0.025653000950813295,0.993
18,0.08930817228555679,0.9715,0.019126086354255677,0.997
19,0.07497085660696029,0.9755,0.02011399519443512,0.997
20,0.09876772892475129,0.9655,0.02082852363586426,0.997
21,0.08629148191213608,0.9695,0.02489794170856476,0.995
22,0.10831890916824341,0.9695,0.018731539726257324,0.998
23,0.1046816172003746,0.9655,0.01926503586769104,0.996
24,0.0842681806087494,0.9665,0.017740701079368593,0.996
25,0.0833574858903885,0.974,0.017483768820762635,0.997
26,0.09392903113365174,0.969,0.01741599977016449,0.997
27,0.09110747134685517,0.9655,0.01966247081756592,0.996
28,0.08717579990625382,0.9695,0.019883297324180604,0.997
29,0.08382536488771439,0.97,0.017638983011245727,0.996
30,0.09238934427499772,0.97,0.018877835035324097,0.995
31,0.09511957025527953,0.9735,0.016135398149490356,0.997
32,0.0731547509431839,0.9755,0.01994430434703827,0.996
33,0.09282622891664505,0.969,0.017572827219963075,0.995
34,0.08354164826869964,0.9695,0.018539636373519897,0.996
35,0.09044877791404723,0.972,0.018336400389671326,0.998
36,0.08393041092157363,0.972,0.018281094431877136,0.996
37,0.08418112945556641,0.9745,0.019504984140396118,0.996
38,0.09952636080980301,0.9705,0.01620827114582062,0.998
39,0.07874237179756165,0.973,0.019254818439483644,0.996
40,0.07976263326406478,0.9715,0.018199075341224672,0.997
41,0.07938933610916138,0.973,0.020549410343170166,0.996
42,0.09098240214586258,0.969,0.018847548365592957,0.996
43,0.06329476726055146,0.985,0.019324570298194885,0.997
44,0.0711360696554184,0.9775,0.020547504663467407,0.995
